reflection_magnitude_L,reflection_phase,optimal_length_l1,optimal_length_l2
0.846104,-2.561664,3.194898,4.352983
0.423576,-1.403160,3.568356,2.720086
0.637113,-1.495679,3.717908,2.675672
0.741231,0.324718,3.942931,3.010426
0.075244,2.407128,2.150588,1.990276
0.903929,0.286452,4.554225,3.280618
0.148094,-2.340829,2.086063,2.503560
0.308258,2.506875,2.370021,2.812954
0.898925,-1.821643,3.648807,3.066602
0.249530,-2.495721,2.514591,3.059248
0.406377,0.758139,2.497181,2.618177
0.154553,2.701022,2.556212,2.672042
0.810772,2.396509,2.076637,3.748876
0.024786,1.486378,1.888636,1.977637
0.802235,2.287482,2.949250,4.556032
0.810749,-1.465203,4.196270,2.814729
0.872167,2.253108,2.477291,4.237323
0.222434,1.989172,2.078435,2.292895
0.795345,-1.711568,3.970153,3.199272
0.023664,-1.928122,1.950049,2.165768
0.966889,-1.387799,5.012351,3.186550
0.641482,-0.630339,4.289879,2.338998
0.939237,-2.416879,3.410396,4.362839
0.970401,-2.019618,4.128500,4.062371
0.108403,-0.411148,2.385894,1.860118
0.728545,-1.170700,3.945196,2.158740
0.385195,0.481217,2.852256,2.672023
0.254723,1.311837,2.920553,3.301570
0.538452,1.378719,2.785322,3.440605
0.741950,1.072091,3.262312,3.723331
0.664238,-1.066885,4.066613,2.282751
0.313916,2.186644,2.246055,2.655529
0.309285,-0.575584,2.857232,1.757059
0.402400,-1.283936,3.346775,2.377372
0.940364,1.114122,3.747554,4.335393
0.902806,0.725802,3.886212,3.654577
0.000406,-1.338861,2.352263,2.194919
0.429888,0.502559,2.970551,2.764779
0.442160,-1.798867,2.876290,2.637408
0.473186,2.520693,2.367786,3.230179
0.084796,0.097088,2.208504,2.110315
0.632941,-1.035543,4.073700,2.326452
0.672796,-1.730134,3.311922,2.715770
0.199130,-2.988123,2.270882,2.747273
0.849738,-2.683999,3.287712,4.640443
0.414441,0.815340,3.023352,3.198385
0.494377,-1.608593,3.596031,2.970061
0.656058,-3.106754,2.577837,3.947098
0.106587,-0.470320,2.060051,1.510120
0.175887,2.877486,2.130401,2.374839
0.249198,2.188662,2.234741,2.491737
0.456462,1.893856,2.134781,2.834353
0.595452,2.827682,1.876535,3.117705
0.891426,0.707815,3.917677,3.652577
0.830569,0.300788,3.969849,2.846548
0.897208,1.530932,2.919498,4.127378
0.247240,0.864952,2.595127,2.867343
0.765814,0.133831,4.047889,2.689685
0.077483,-1.346310,2.186299,1.892409
0.271715,-1.132798,2.757767,1.902404
0.231261,1.218623,2.407911,2.770924
0.706419,-2.738031,2.628639,3.857382
0.415774,-1.842014,3.135122,2.988908
0.420144,2.543675,2.025373,2.760033
0.856732,1.668780,2.751201,4.052727
0.380381,-3.104546,2.166706,2.971143
0.853448,2.848987,2.845196,4.712572
0.419021,1.555187,2.273240,2.856989
0.220539,-1.762926,2.511648,2.428215
0.435836,-2.959224,2.304890,3.219154
0.404317,-2.104586,3.106597,3.357915
0.467390,-2.339684,2.776510,3.338536
0.394020,0.404587,3.027166,2.736971
0.027102,0.896922,2.304152,2.639615
0.050285,-0.759613,2.426517,1.951933
0.211660,-1.087960,2.719271,1.962599
0.752010,2.085542,2.364565,3.758461
0.252272,-2.626961,2.657376,3.244608
0.999908,-0.942727,5.064875,2.365523
0.650144,1.767039,2.454635,3.479711
0.949612,-1.888973,3.794368,3.363484
0.020380,-2.184146,2.354264,2.685050
0.563970,-1.772081,3.578004,3.178294
0.699465,1.676970,2.901159,3.956795
0.747926,-2.421961,3.412991,4.251020
0.819301,2.919927,2.605740,4.386221
0.311957,1.114306,2.624391,3.004604
0.958173,-0.649339,4.965482,2.214589
0.690614,0.799488,3.385951,3.418090
0.101901,1.712048,2.360259,2.434060
0.121055,3.040084,1.946995,2.146507
0.782635,-0.960047,4.207734,2.038724
0.505961,-0.997574,3.659011,2.168685
0.849576,2.025265,3.082025,4.657798
0.635585,2.065329,2.832933,3.957203
0.707309,-0.405346,4.160143,2.151006
0.270082,1.936473,1.752632,2.074801
0.538173,-0.103688,3.330023,2.055884
0.268396,2.209879,2.384833,2.687491
0.830731,-2.597074,3.224446,4.424390
0.464708,0.693235,2.974377,2.983558
0.378989,-2.961265,2.498172,3.309493
0.212120,1.871336,2.156279,2.373869
0.340339,2.389621,2.220877,2.719114
0.010151,2.815260,1.944399,1.756590
0.085613,1.382770,1.854828,2.067506
0.690609,0.916735,3.391467,3.614404
0.490821,1.840551,2.614399,3.371582
0.691787,-1.217643,4.098257,2.459919
0.581556,-0.168009,3.570890,2.115266
0.745935,-1.063170,4.199744,2.228290
0.702855,-1.439375,3.913523,2.653652
0.192584,-2.390408,2.487725,2.948478
0.535864,1.647386,2.678821,3.459531
0.484199,1.411109,2.828207,3.445667
0.976607,0.154798,4.696937,2.988025
0.194118,-1.712274,2.640086,2.526235
0.179442,-3.052696,2.073191,2.488128
0.974295,0.335264,4.510883,3.245055
0.697417,-2.348155,3.320131,4.001403
0.872720,0.465359,3.992548,3.183723
0.469397,-0.374046,3.527628,2.131852
0.941064,-0.139932,4.879685,2.642333
0.822116,-0.623874,4.839924,2.434437
0.053609,-2.204157,2.323565,2.663643
0.562840,-1.232538,3.758119,2.403438
0.764443,0.668014,3.732421,3.475473
0.790741,-1.723559,3.677026,2.940843
0.442721,2.262994,2.307013,3.033605
0.990031,-1.222832,4.629814,2.393523
0.740089,2.812292,2.293758,3.885296
0.207788,-1.815682,2.486347,2.474564
0.173814,-2.669946,2.193052,2.690970
0.002676,-0.310994,1.963081,1.752657
0.231476,1.300342,2.317010,2.679646
0.702988,-0.288830,3.995230,2.108659
0.787828,0.785763,3.233091,3.193847
0.661183,2.724819,2.200119,3.585354
0.647635,2.566125,2.535514,3.850341
0.826631,-2.692911,3.106315,4.442004
0.748958,0.434841,4.058557,3.341274
0.288611,-2.360256,2.409764,2.905507
0.942676,0.002967,4.435665,2.462045
0.493795,-2.636162,2.894246,3.763387
0.322322,-1.568485,2.945830,2.491398
0.091327,2.902273,2.292811,2.348239
0.950786,3.138906,2.528087,4.526427
0.672282,-1.448205,4.171526,2.979798
0.470501,0.951962,3.029930,3.324082
0.916073,-2.001263,3.628252,3.530981
0.491726,-2.568300,2.561198,3.374305
0.347961,-1.047354,2.903032,1.812800
0.329804,1.216888,2.217024,2.637668
0.288218,2.797234,2.354621,2.838123
0.454826,-1.165423,3.132325,1.916826
0.323274,2.954258,2.081999,2.705198
0.988119,0.990609,3.962461,4.302886
0.542594,-0.545082,3.809696,2.131167
0.756443,0.787966,3.792489,3.772873
0.759991,-1.862599,3.251444,2.884427
0.438116,1.245642,2.576560,3.075772
0.121426,2.972869,2.052162,2.216204
0.158378,0.319431,2.402079,2.364637
0.552251,-2.555942,3.260341,4.121890
0.461448,-2.403531,2.743875,3.374496
0.832143,-0.010207,4.383736,2.617291
0.273425,2.103133,2.022930,2.338065
0.980245,-1.610186,4.264582,3.001912
0.921868,0.051779,4.581139,2.750788
0.879326,2.287249,2.507378,4.301767
0.414942,2.728463,2.676482,3.450387
0.507738,2.014072,2.402585,3.230818
0.586938,3.134696,2.681139,3.914519
0.489640,-2.207940,2.738943,3.134374
0.551917,0.272879,3.473423,2.747197
0.455345,-1.119806,3.514212,2.249096
0.571798,-1.674077,3.737789,3.137117
0.775544,-2.867349,2.809417,4.265642
0.811409,-0.715788,4.207511,1.829691
0.663689,2.015316,2.786160,3.952608
0.037020,0.014396,2.173750,2.106838
0.590180,2.322896,2.566938,3.667801
0.525951,-0.270629,3.490194,2.048723
0.722444,-0.565621,4.207241,2.067602
0.469491,2.948093,2.274164,3.235993
0.338561,1.210799,2.354384,2.778312
0.852341,2.257814,2.230983,3.945534
0.380009,-1.151952,3.101083,2.030414
0.872383,-2.916032,2.522800,4.187834
0.068421,0.824109,2.870880,3.192544
0.746766,-0.414869,3.989491,1.874701
0.098443,0.840362,2.448258,2.760876
0.694001,2.534788,2.275627,3.698988
0.045991,1.860724,2.081048,1.978593
0.145570,0.195824,2.680885,2.554284
0.565928,1.837954,2.592451,3.492145
0.870840,0.752162,3.949819,3.796623
0.240830,2.593881,2.363089,2.659230
0.253977,-1.537328,2.913887,2.517260
0.009397,1.914066,2.363966,2.161144
0.157976,-0.366123,2.387147,1.764220
0.345566,0.550229,2.745745,2.692127
0.250098,2.169609,2.075945,2.335287
0.199217,-0.724494,2.544015,1.698483
0.571923,0.470057,3.471196,3.045752
0.992692,-1.286603,5.101245,2.994326
0.274480,0.414244,2.724327,2.609258
0.685799,1.537300,3.117743,4.052522
0.496727,2.539383,2.429474,3.356259
0.286194,1.877794,2.165971,2.527884
0.636618,0.759582,3.269958,3.263816
0.677764,1.388134,2.732265,3.531846
0.628248,2.534660,2.069380,3.326782
0.646341,-1.200510,3.640905,2.070021
0.732360,-2.575268,3.108198,4.172874
0.295110,1.554968,2.465157,2.879529
0.539408,2.962456,2.519200,3.645656
0.530852,2.598015,2.438142,3.466774
0.824690,-0.114053,4.327601,2.396461
0.806488,1.549178,2.910295,4.017633
0.962893,-2.257190,3.753859,4.335748
0.966500,2.262830,2.528192,4.521225
0.967270,1.913781,2.234017,3.970736
0.365775,1.826409,2.654733,3.173156
0.454786,1.085913,2.859547,3.266364
0.672341,0.531307,3.865889,3.431291
0.108346,-1.672446,1.905668,1.848521
0.025025,2.414219,1.680249,1.395150
0.221367,-2.744388,2.157412,2.715910
0.823855,2.572258,2.432980,4.194108
0.139777,2.803944,2.377389,2.500377
0.304365,-0.046341,3.321207,2.630596
0.135664,-0.291265,2.752725,2.232740
0.670486,1.527694,3.041179,3.948453
0.742269,-2.170697,3.314942,3.663419
0.414885,-2.519421,2.426716,3.127714
0.951522,-2.936030,2.937441,4.761529
0.370530,-0.355735,3.596713,2.458118
0.099355,1.166664,2.124686,2.423615
0.544466,3.002373,2.300242,3.442136
0.189809,-2.374041,2.545178,2.997273
0.848033,-0.284519,4.448547,2.217431
0.597146,-3.007400,2.322757,3.546452
0.786795,-1.611204,4.184194,3.178582
0.068610,1.666033,2.358001,2.401058
0.207157,-1.784730,2.686098,2.640275
0.147554,2.516611,2.035261,2.075276
0.002836,2.251932,2.169642,1.834058
0.250654,-2.045195,2.661937,2.874674
0.661058,-2.979611,3.015841,4.348048
0.237932,-1.107277,2.811647,2.010348
0.174246,-2.812360,2.257886,2.739445
0.745665,-0.149251,4.000486,2.193836
0.778017,0.083177,4.422886,2.943147
0.945416,-2.869122,3.133847,4.871215
0.783227,2.305809,2.282114,3.850292
0.964026,-2.759415,3.068279,4.685569
0.478982,-0.618157,3.447114,1.908165
0.909701,-2.679837,2.896124,4.318222
0.080790,0.680453,2.426021,2.707626
0.633077,0.303832,3.777136,2.973566
0.325185,3.107838,2.093459,2.767713
0.605427,-2.518436,2.846549,3.716051
0.701779,2.216662,2.282681,3.617846
0.720840,-1.790563,3.396879,2.890910
0.451555,-1.705925,3.017169,2.611946
0.415990,-2.544151,2.826399,3.546605
0.426764,1.037403,2.732353,3.097622
0.922985,-2.719782,3.181392,4.682204
0.831772,-2.555811,3.432422,4.566621
0.811769,0.354188,4.319166,3.342138
0.586465,0.386959,3.490199,2.904157
0.353598,1.038865,2.787873,3.143870
0.750284,2.312791,2.393683,3.883997
0.600410,-0.932135,3.321088,1.559534
0.577919,-1.804915,3.281330,2.933822
0.108218,2.170045,2.038055,1.965318
0.367561,1.650000,2.115723,2.634556
0.845155,2.981664,2.437652,4.268203
0.818427,0.713602,3.776685,3.573727
0.929084,2.070063,2.650012,4.431860
0.267448,-2.008005,2.565861,2.732969
0.339825,-3.103229,2.174629,2.896317
0.869863,0.416708,4.116684,3.198282
0.633172,-2.948968,2.708182,3.975082
0.746112,-1.789873,3.577297,3.046718
0.370053,1.392329,2.654201,3.148384
0.776836,0.424703,4.038045,3.262562
0.157410,0.740399,2.458276,2.711500
0.673969,-1.431920,3.717388,2.491022
0.442044,-1.425235,3.041031,2.193607
0.754943,-2.426456,3.014155,3.864629
0.678486,-0.083989,4.110149,2.552149
0.667133,-2.856227,2.502075,3.772558
0.007687,-1.247719,2.294825,2.068752
0.211234,-2.279321,2.431116,2.841086
0.007730,1.552036,2.295441,2.319086
0.175695,-0.752679,2.555194,1.768509
0.833354,1.923913,2.471468,3.944244
0.072075,2.273033,2.178148,2.007776
0.921162,2.275204,2.605064,4.495046
0.575759,0.461184,3.414636,2.969527
0.115173,-3.010547,1.980835,2.290240
0.324768,1.893263,2.052321,2.489295
0.919770,-2.587856,2.958619,4.237451
